year day bgsex bgsey bgsez
2019 48 4.092 1.945 0.345
2019 48 4.139 1.717 0.453
2019 48 4.173 1.801 0.257
2019 48 4.117 1.971 0.545
2019 48 4.200 1.993 0.304
2019 48 4.182 2.001 0.261
2019 48 4.146 1.987 0.344
2019 48 4.227 2.054 0.253
2019 48 4.145 2.066 0.320
2019 48 4.185 2.127 0.154
2019 48 4.199 2.012 0.223
2019 48 4.205 1.956 0.269
2019 48 4.088 2.182 -0.012
2019 48 4.072 2.058 0.126
2019 48 4.162 1.916 0.234
2019 48 4.226 1.904 0.234
2019 48 4.183 1.959 0.176
2019 48 4.179 1.898 0.065
2019 48 4.096 1.951 0.166
2019 48 4.210 1.809 0.145
2019 48 4.218 1.683 0.270
2019 48 4.164 1.663 0.257
2019 48 4.184 1.590 0.162
2019 48 4.163 1.496 0.125
2019 48 4.181 1.548 0.151
2019 48 4.146 1.579 0.218
2019 48 4.243 1.207 0.193
2019 48 4.172 1.513 0.232
2019 48 4.265 1.212 0.386
2019 48 4.326 0.289 0.924
2019 48 4.341 0.494 0.928
2019 48 4.330 0.309 1.008
2019 48 4.377 0.091 0.934
2019 48 4.386 0.448 0.792
2019 48 4.296 0.647 0.912
2019 48 4.217 0.647 0.985
2019 48 4.236 0.712 1.173
2019 48 4.179 0.885 1.194
2019 48 4.032 1.297 1.024
2019 48 3.972 1.556 0.926
2019 48 4.015 1.580 0.630
2019 48 4.036 1.619 0.715
2019 48 4.094 1.875 0.333
2019 48 4.127 1.910 0.102
2019 48 4.174 1.887 0.082
2019 48 4.079 2.075 -0.092
2019 48 4.015 2.294 -0.425
2019 48 4.005 2.250 -0.445
2019 48 3.985 2.290 -0.161
2019 48 4.004 2.547 0.083
2019 48 4.117 2.644 0.300
2019 48 4.195 2.528 0.188
2019 48 4.056 2.235 0.147
2019 48 4.125 2.153 0.094
2019 48 3.814 2.462 -0.039
2019 48 3.416 3.009 -0.379
2019 48 3.439 3.017 -0.260
2019 48 3.407 2.998 -0.365
2019 48 3.369 2.953 -0.599
2019 48 3.359 2.918 -0.784
2019 48 3.274 2.995 -0.825
2019 48 3.265 3.153 -0.234
2019 48 2.952 3.298 -0.140
2019 48 3.064 3.338 -0.162
2019 48 2.881 3.222 -0.814
2019 48 2.800 3.117 -1.237
2019 48 2.910 2.995 -1.091
2019 48 3.061 3.051 -0.410
2019 48 2.974 3.337 -0.220
2019 48 2.807 3.345 -0.555
2019 48 2.866 3.220 -0.598
2019 48 2.870 3.237 -0.461
2019 48 2.717 3.292 -0.605
2019 48 2.875 3.060 -0.739
2019 48 2.943 3.024 -0.711
2019 48 3.213 2.874 -0.886
2019 48 3.840 2.731 -0.775
2019 48 3.741 2.791 -0.878
2019 48 3.454 2.932 -1.006
2019 48 3.875 2.879 -0.658
2019 48 4.176 2.421 0.163
2019 48 4.050 2.540 0.137
2019 48 3.839 2.626 -0.031
2019 48 3.863 2.654 -0.332
2019 48 3.819 2.673 -0.611
2019 48 3.788 2.699 -0.565
2019 48 3.820 2.719 -0.647
2019 48 3.790 2.655 -0.771
2019 48 3.818 2.626 -0.517
2019 48 3.715 2.700 -0.684
2019 48 3.866 2.508 -0.588
2019 48 3.779 2.571 -0.631
2019 48 3.776 2.560 -0.677
2019 48 3.845 2.515 -0.752
2019 48 3.781 2.431 -0.703
2019 48 3.959 2.212 -0.542
2019 48 3.859 2.294 -0.722
2019 48 3.660 2.460 -1.049
2019 48 3.575 2.469 -1.044
2019 48 3.537 2.371 -1.174
2019 48 3.098 2.761 -1.491
2019 48 3.187 2.552 -1.458
2019 48 3.329 2.712 -1.318
2019 48 3.784 2.709 -1.325
2019 48 3.870 2.525 -1.344
2019 48 3.806 2.582 -1.256
2019 48 3.737 2.619 -1.442
2019 48 3.498 2.583 -1.825
2019 48 3.509 2.689 -1.613
2019 48 3.584 2.679 -1.529
2019 48 3.501 2.618 -1.713
2019 48 2.801 2.482 -2.073
2019 48 2.824 2.570 -2.009
2019 48 2.837 2.368 -2.238
2019 48 3.008 2.206 -2.266
2019 48 3.338 2.263 -1.677
2019 48 3.298 2.406 -1.581
2019 48 3.587 2.067 -1.173
2019 48 3.608 2.273 -1.128
